,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
541,542,1/24/2011,1,0,1,17,FALSE,1,1,0.14,0.1212,0.5,0.2537,6,178,184
542,543,1/24/2011,1,0,1,18,FALSE,1,1,0.14,0.1364,0.59,0.194,8,145,153
543,544,1/24/2011,1,0,1,19,FALSE,1,1,0.14,0.1515,0.54,0.1642,5,101,106
544,545,1/24/2011,1,0,1,20,FALSE,1,1,0.14,0.1364,0.59,0.194,1,80,81
545,546,1/24/2011,1,0,1,21,FALSE,1,1,0.14,0.1515,0.63,0.1642,6,53,59
546,547,1/24/2011,1,0,1,22,FALSE,1,2,0.14,0.1364,0.63,0.2239,3,32,35
547,548,1/24/2011,1,0,1,23,FALSE,1,2,0.16,0.1515,0.64,0.2537,3,21,24
548,549,1/25/2011,1,0,1,0,FALSE,2,2,0.16,0.1364,0.69,0.2836,3,6,9
549,550,1/25/2011,1,0,1,1,FALSE,2,2,0.16,0.1667,0.69,0.1642,0,5,5
550,551,1/25/2011,1,0,1,2,FALSE,2,1,0.16,0.1515,0.69,0.2239,0,2,2
551,552,1/25/2011,1,0,1,4,FALSE,2,1,0.14,0.1667,0.74,0.1045,0,1,1
552,553,1/25/2011,1,0,1,5,FALSE,2,1,0.14,0.1364,0.74,0.2239,0,9,9
553,554,1/25/2011,1,0,1,6,FALSE,2,1,0.16,0.1818,0.74,0.1045,1,35,36
554,555,1/25/2011,1,0,1,7,FALSE,2,1,0.16,0.1515,0.74,0.2239,5,103,108
555,556,1/25/2011,1,0,1,8,FALSE,2,2,0.16,0.1818,0.74,0.1343,5,233,238
556,557,1/25/2011,1,0,1,9,FALSE,2,2,0.2,0.2273,0.64,0.0896,10,134,144
557,558,1/25/2011,1,0,1,10,FALSE,2,2,0.22,0.2424,0.6,0.1045,6,49,55
558,559,1/25/2011,1,0,1,11,FALSE,2,2,0.24,0.2424,0.6,0.1343,6,55,61
559,560,1/25/2011,1,0,1,12,FALSE,2,2,0.26,0.2879,0.56,0.0896,21,85,106
560,561,1/25/2011,1,0,1,13,FALSE,2,2,0.26,0.2727,0.56,0.1343,21,72,93
561,562,1/25/2011,1,0,1,14,FALSE,2,2,0.3,0.3333,0.45,0,11,57,68
562,563,1/25/2011,1,0,1,15,FALSE,2,2,0.32,0.3485,0.42,0,21,63,84
563,564,1/25/2011,1,0,1,16,FALSE,2,2,0.32,0.3485,0.42,0,14,102,116
564,565,1/25/2011,1,0,1,17,FALSE,2,1,0.3,0.3333,0.45,0,14,208,222
565,566,1/25/2011,1,0,1,18,FALSE,2,2,0.3,0.3182,0.49,0.0896,7,218,225
566,567,1/25/2011,1,0,1,19,FALSE,2,2,0.26,0.2576,0.65,0.1642,13,133,146
567,568,1/25/2011,1,0,1,20,FALSE,2,1,0.24,0.2273,0.65,0.194,16,103,119
568,569,1/25/2011,1,0,1,21,FALSE,2,1,0.24,0.2273,0.65,0.194,5,40,45
569,570,1/25/2011,1,0,1,22,FALSE,2,1,0.22,0.2273,0.64,0.1642,4,49,53
570,571,1/25/2011,1,0,1,23,FALSE,2,2,0.22,0.2273,0.64,0.1642,3,37,40
571,572,1/26/2011,1,0,1,0,FALSE,3,2,0.22,0.2273,0.69,0.1343,3,14,17
572,573,1/26/2011,1,0,1,1,FALSE,3,2,0.24,0.2424,0.65,0.1343,0,5,5
573,574,1/26/2011,1,0,1,2,FALSE,3,3,0.22,0.2273,0.69,0.194,3,7,10
574,575,1/26/2011,1,0,1,5,FALSE,3,3,0.2,0.1818,0.86,0.2836,0,1,1
575,576,1/26/2011,1,0,1,6,FALSE,3,3,0.2,0.1818,0.86,0.2836,0,8,8
576,577,1/26/2011,1,0,1,7,FALSE,3,3,0.22,0.2121,0.87,0.2985,1,29,30
577,578,1/26/2011,1,0,1,8,FALSE,3,3,0.22,0.2121,0.87,0.2985,3,69,72
578,579,1/26/2011,1,0,1,9,FALSE,3,3,0.22,0.2121,0.87,0.2985,3,55,58
579,580,1/26/2011,1,0,1,10,FALSE,3,3,0.22,0.2121,0.93,0.2836,2,26,28
580,581,1/26/2011,1,0,1,11,FALSE,3,3,0.22,0.197,0.93,0.3284,6,35,41
581,582,1/26/2011,1,0,1,12,FALSE,3,3,0.22,0.197,0.93,0.3284,7,41,48
582,583,1/26/2011,1,0,1,13,FALSE,3,3,0.22,0.197,0.93,0.3284,4,43,47
583,584,1/26/2011,1,0,1,14,FALSE,3,3,0.22,0.197,0.93,0.3582,0,36,36
584,585,1/26/2011,1,0,1,15,FALSE,3,3,0.22,0.1818,0.93,0.4627,1,42,43
585,586,1/26/2011,1,0,1,16,FALSE,3,4,0.22,0.197,0.93,0.3284,1,35,36
586,587,1/26/2011,1,0,1,17,FALSE,3,3,0.2,0.1818,0.93,0.3582,0,26,26
587,588,1/27/2011,1,0,1,16,FALSE,4,1,0.22,0.2273,0.55,0.194,1,23,24
588,589,1/27/2011,1,0,1,17,FALSE,4,1,0.22,0.2424,0.55,0.1045,2,82,84
589,590,1/27/2011,1,0,1,18,FALSE,4,1,0.2,0.2273,0.69,0.0896,3,101,104
590,591,1/27/2011,1,0,1,19,FALSE,4,1,0.2,0.2273,0.69,0.0896,3,76,79
591,592,1/27/2011,1,0,1,20,FALSE,4,1,0.18,0.2121,0.74,0.0896,4,55,59
592,593,1/27/2011,1,0,1,21,FALSE,4,1,0.18,0.2121,0.74,0.0896,2,36,38
593,594,1/27/2011,1,0,1,22,FALSE,4,1,0.18,0.2121,0.74,0.0896,0,27,27
594,595,1/27/2011,1,0,1,23,FALSE,4,1,0.18,0.197,0.8,0.1642,0,16,16
595,596,1/28/2011,1,0,1,0,FALSE,5,2,0.2,0.2121,0.75,0.1343,0,9,9
596,597,1/28/2011,1,0,1,1,FALSE,5,2,0.2,0.2121,0.75,0.1343,1,2,3
597,598,1/28/2011,1,0,1,2,FALSE,5,2,0.2,0.2121,0.75,0.1642,0,2,2
598,599,1/28/2011,1,0,1,3,FALSE,5,2,0.2,0.2273,0.75,0.1045,1,0,1
599,600,1/28/2011,1,0,1,5,FALSE,5,2,0.18,0.2121,0.8,0.1045,0,4,4
600,601,1/28/2011,1,0,1,6,FALSE,5,2,0.18,0.197,0.8,0.1343,0,16,16
601,602,1/28/2011,1,0,1,7,FALSE,5,2,0.16,0.197,0.86,0.0896,2,58,60
602,603,1/28/2011,1,0,1,8,FALSE,5,2,0.16,0.197,0.86,0.0896,2,155,157
603,604,1/28/2011,1,0,1,9,FALSE,5,3,0.18,0.2121,0.86,0.0896,6,95,101
604,605,1/28/2011,1,0,1,10,FALSE,5,3,0.18,0.2121,0.86,0.1045,0,49,49
605,606,1/28/2011,1,0,1,11,FALSE,5,3,0.18,0.2121,0.93,0.1045,0,30,30
606,607,1/28/2011,1,0,1,12,FALSE,5,3,0.18,0.2121,0.93,0.1045,1,28,29
607,608,1/28/2011,1,0,1,13,FALSE,5,3,0.18,0.2121,0.93,0.1045,0,31,31
608,609,1/28/2011,1,0,1,14,FALSE,5,3,0.22,0.2727,0.8,0,2,36,38
609,610,1/28/2011,1,0,1,15,FALSE,5,2,0.2,0.2576,0.86,0,1,40,41
